GeneID	Control_Expression_Group	Treatment_Expression_Group	Gene_description
Potri.007G019800	Medium Expression	NA	unknown
Potri.013G118700	NA	Not Expressed	UDP-glucosyl transferase 78D2
Potri.014G025600	Medium Expression	NA	HXXXD-type acyl-transferase family protein
Potri.004G153600	NA	Not Expressed	Protein kinase superfamily protein
Potri.017G068900	Not Expressed	NA	unknown
Potri.001G373200	Medium Expression	Medium Expression	GroES-like zinc-binding alcohol dehydrogenase family protein
Potri.003G067300	Low Expression	NA	DNA-directed RNA polymerase family protein
Potri.010G022500	Medium Expression	Medium Expression	Zinc finger C-x8-C-x5-C-x3-H type family protein
Potri.019G020700	NA	High Expression	P-loop containing nucleoside triphosphate hydrolases superfamily protein
Potri.015G051400	Not Expressed	Not Expressed	unknown
Potri.013G141600	Low Expression	NA	unknown
Potri.013G135300	High Expression	NA	pre-mRNA splicing factor-related
Potri.013G139400	Not Expressed	Low Expression	Cytochrome C assembly protein
Potri.016G137500	NA	Not Expressed	VACUOLAR SORTING RECEPTOR 2
Potri.016G096500	High Expression	Medium Expression	ubiquitin-protein ligase 7
Potri.010G206900	Medium Expression	NA	dephospho-CoA kinase family
Potri.018G053000	Medium Expression	Medium Expression	Protein of unknown function (DUF761)
Potri.013G138800	Not Expressed	Low Expression	NADH-Ubiquinone/plastoquinone (complex I) protein
Potri.001G271500	High Expression	NA	Ribosomal protein L6 family protein
Potri.003G065100	Not Expressed	NA	Tetratricopeptide repeat (TPR)-like superfamily protein
Potri.010G042900	Medium Expression	NA	Kelch repeat-containing F-box family protein
Potri.014G150800	Medium Expression	NA	lipase class 3 family protein
Potri.003G024100	Low Expression	Low Expression	Plant protein of unknown function (DUF247)
Potri.001G392600	High Expression	NA	tetratricopetide-repeat thioredoxin-like 1
Potri.014G070400	Low Expression	NA	LOB domain-containing protein 18
Potri.004G140800	NA	High Expression	nitrite reductase 1
Potri.011G003300	Medium Expression	NA	Protein of unknown function, DUF584
Potri.008G001800	Not Expressed	Not Expressed	zinc ion binding;nucleic acid binding
Potri.017G070500	Medium Expression	Medium Expression	5\'-3\' exonuclease family protein
Potri.008G192500	High Expression	NA	pyruvate dehydrogenase complex E1 alpha subunit
Potri.001G376400	NA	High Expression	global transcription factor group E4
Potri.015G003000	Medium Expression	Medium Expression	nuclear RNA polymerase C2
Potri.018G128400	High Expression	NA	Transducin family protein / WD-40 repeat family protein
Potri.002G004600	NA	High Expression	RNA-binding (RRM/RBD/RNP motifs) family protein
Potri.012G033800	Low Expression	NA	unknown
Potri.001G276600	Low Expression	NA	cysteine-rich RLK (RECEPTOR-like protein kinase) 3
Potri.001G412500	Medium Expression	High Expression	unknown
Potri.001G013600	Low Expression	Low Expression	DNA-binding bromodomain-containing protein
Potri.019G037400	Medium Expression	NA	Glycosyl hydrolase family protein
Potri.017G038500	High Expression	Medium Expression	TraB family protein
Potri.002G162000	High Expression	Medium Expression	Quinoprotein amine dehydrogenase, beta chain-like; RIC1-like guanyl-nucleotide exchange factor
Potri.013G140000	Not Expressed	Low Expression	unknown
Potri.004G044900	NA	Not Expressed	ralf-like 4
Potri.007G041500	Not Expressed	NA	unknown
Potri.018G087100	High Expression	NA	ABC transporter family protein
Potri.019G125300	NA	Not Expressed	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein
Potri.012G049000	Medium Expression	Medium Expression	unknown
Potri.017G116000	Medium Expression	NA	unknown
Potri.008G223200	Not Expressed	NA	unknown
Potri.005G159800	Not Expressed	NA	unknown
Potri.001G372400	Low Expression	NA	cinnamyl alcohol dehydrogenase 9
Potri.009G047200	Not Expressed	NA	unknown
Potri.019G021900	NA	Not Expressed	Polynucleotidyl transferase, ribonuclease H-like superfamily protein
Potri.013G139900	Low Expression	Low Expression	unknown
Potri.T061700	Not Expressed	NA	unknown
Potri.019G043600	Medium Expression	NA	HXXXD-type acyl-transferase family protein
Potri.001G301900	High Expression	High Expression	Calcium-dependent lipid-binding (CaLB domain) family protein
Potri.012G052700	High Expression	NA	Transducin/WD40 repeat-like superfamily protein
Potri.001G415800	Low Expression	NA	basic helix-loop-helix (bHLH) DNA-binding superfamily protein
Potri.007G091600	Low Expression	Low Expression	VQ motif-containing protein
Potri.010G249600	Low Expression	NA	D-3-phosphoglycerate dehydrogenase
Potri.018G074200	Low Expression	NA	Homeodomain-like superfamily protein
Potri.014G047400	Medium Expression	Medium Expression	Protein of unknown function (DUF630 and DUF632)
Potri.019G093000	High Expression	NA	O-methyltransferase family protein
Potri.001G027000	NA	High Expression	response regulator 9
Potri.014G157000	High Expression	NA	Protein phosphatase 2A regulatory B subunit family protein
Potri.016G126900	Not Expressed	Not Expressed	receptor like protein 6
Potri.T005700	Not Expressed	Not Expressed	ATP synthase subunit beta
Potri.013G139700	Not Expressed	Not Expressed	Ycf1 protein
Potri.018G085900	Medium Expression	NA	Protein of unknown function (DUF810)
Potri.010G024600	Medium Expression	NA	unknown
Potri.014G041800	Low Expression	NA	UDP-Glycosyltransferase superfamily protein
Potri.004G149400	NA	Low Expression	Tetratricopeptide repeat (TPR)-like superfamily protein
Potri.001G374200	NA	Low Expression	Basic-leucine zipper (bZIP) transcription factor family protein
Potri.019G083900	NA	Low Expression	Gibberellin-regulated family protein
Potri.003G049700	NA	Low Expression	Protein kinase family protein
Potri.T012900	Low Expression	NA	NB-ARC domain-containing disease resistance protein
Potri.001G470300	High Expression	NA	Pyridoxamine 5\'-phosphate oxidase family protein
Potri.017G082300	NA	High Expression	Protein of unknown function (DUF1666)
Potri.005G059500	Not Expressed	Not Expressed	beta glucosidase 32
Potri.006G041600	Medium Expression	NA	unknown
Potri.019G059500	High Expression	High Expression	unknown
Potri.005G185700	NA	High Expression	RNI-like superfamily protein
Potri.014G093300	Not Expressed	Not Expressed	Phosphatidylinositol-4-phosphate 5-kinase, core
Potri.014G014700	NA	Medium Expression	endoplasmic reticulum-type calcium-transporting ATPase 3
Potri.016G003700	NA	Low Expression	Phototropic-responsive NPH3 family protein
Potri.014G070200	Medium Expression	NA	unknown
Potri.001G402600	NA	High Expression	RmlC-like cupins superfamily protein
Potri.017G062900	NA	Not Expressed	Plant protein of unknown function (DUF247)
Potri.002G003100	NA	High Expression	Phosphofructokinase family protein
Potri.008G209800	Low Expression	Low Expression	Calcium-dependent lipid-binding (CaLB domain) family protein
Potri.019G012100	Medium Expression	NA	MuDR family transposase
Potri.010G010300	Not Expressed	Not Expressed	unknown
Potri.013G119700	NA	Medium Expression	unknown
Potri.016G129000	High Expression	NA	SCAR homolog 2
Potri.010G004700	NA	Medium Expression	DEA(D/H)-box RNA helicase family protein
Potri.012G004000	Medium Expression	NA	Vacuolar iron transporter (VIT) family protein
Potri.003G019600	Medium Expression	NA	Protein of unknown function (DUF3411)
Potri.005G156700	NA	Not Expressed	Predicted AT-hook DNA-binding family protein
Potri.001G401700	Medium Expression	NA	expansin 12
Potri.001G377500	Medium Expression	NA	CTC-interacting domain 9
